id,node_class,label
taiwan,GEOGRAPHY,Taiwan
geopolitical-risk-taiwan,MACRO_FACTOR,Taiwan Geopolitical Risk
semiconductor-industry,INDUSTRY,Semiconductors
software-industry,INDUSTRY,Software
internet-services-industry,INDUSTRY,Internet Services
ecommerce-cloud-industry,INDUSTRY,E-Commerce & Cloud Services
food-beverages-industry,INDUSTRY,Food & Beverages
china,GEOGRAPHY,China
semiconductor-export-ban,MACRO_FACTOR,US-China Semiconductor Export Controls
coffee,COMMODITY,Coffee (Arabica & Robusta)
brazil,GEOGRAPHY,Brazil
brazil-climate-risk,MACRO_FACTOR,Brazil Agricultural Climate Risk
us-fed-rate,MACRO_FACTOR,US Federal Reserve Interest Rate Policy
eu-digital-regulation,MACRO_FACTOR,EU Digital Markets Act & AI Act Regulatory Risk
united-states,GEOGRAPHY,United States
european-union,GEOGRAPHY,European Union
cny-usd-fx-risk,MACRO_FACTOR,CNY/USD Foreign Exchange Risk
eur-usd-fx-risk,MACRO_FACTOR,EUR/USD Foreign Exchange Risk
europe,GEOGRAPHY,Europe
